Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
FAM134A,136601830.25046554,194474753.32720208,147710949.41979548,177966495.238683,24386236.11175889,189318073.78795367,24386236.11175889
FAM134C,9820800.082499193,9820800.082499193,9820800.082499193,9703634.035240544,9703634.035240544,9703634.035240544,9703634.035240544
FAM136A,48327311.48390887,338787762.3422111,10967776.730517851,93541272.26520328,145263160.29885462,222996798.62646705,11098683.02872121
FAM160A2,8684994.772874659,8684994.772874659,8684994.772874659,10313698.700901575,10313698.700901575,10313698.700901575,10313698.700901575
FAM160B1,9565941.941859294,9565941.941859294,9565941.941859294,157425698.62723494,13775831.790549017,13775831.790549017,13775831.790549017
FAM160B2,9768865.302563103,9768865.302563103,9768865.302563103,11327691.972947413,11327691.972947413,11327691.972947413,11327691.972947413
FAM162A,662935022.4739774,1192120498.4167798,721419803.0907067,991495113.5847234,805750911.356768,900852621.1063421,627716481.9941126
FAM169A,91126936.6820227,64632010.99440899,6492711.694808396,22789148.338102486,22789148.338102486,118624614.88502307,22789148.338102486
FAM171A1,88595115.67125677,97603109.38576776,73315851.50152454,19528915.721881825,19528915.721881825,19528915.721881825,19528915.721881825
FAM171A2,24809814.27339407,88065564.26303875,8132936.414846136,135309457.05843535,134156549.71361251,193757043.26049367,171020968.5646752
FAM171B,167588713.17191142,270548967.95641285,179125955.07082295,45956666.616956286,45956666.616956286,281979752.23374456,206628399.33096176
FAM175B,108159441.99843866,91043924.65420151,91468727.75617838,17807601.32282251,17807601.32282251,17807601.32282251,17807601.32282251
FAM177A1,101698721.11423457,71434970.10213858,154442797.84941366,34329677.23962905,176802900.2738932,34329677.23962905,34329677.23962905
FAM184B,51052521.61250831,7671702.167244183,343729866.03572035,18755734.371274248,18755734.371274248,18755734.371274248,18755734.371274248
FAM195B,199459085.67820758,525203352.0973128,138109267.60371825,24624587.192400873,24624587.192400873,24624587.192400873,24624587.192400873
FAM208A,24192665.24907499,6228561.391397698,93390391.13373631,43984785.81456932,43984785.81456932,43984785.81456932,43984785.81456932
FAM210B,9381359.471100442,9381359.471100442,9381359.471100442,12735841.049891924,12735841.049891924,12735841.049891924,12735841.049891924
FAM213A,973462208.803932,754516117.9569396,702246373.7893946,1017340997.628724,407428257.6535109,349314918.23391706,766610797.3614765
FAM213B,902624274.5392277,1038210091.3884389,776166593.4828777,39005250.3313576,39005250.3313576,413416907.8007495,39005250.3313576
FAM21A,12175695.321642337,12175695.321642337,47062567.192587145,9216796.695306934,9216796.695306934,9216796.695306934,9216796.695306934
FAM3C,92751570.81695874,67182481.8538917,67638976.70017132,22716374.243271656,22716374.243271656,22716374.243271656,22716374.243271656
FAM45A,57883586.97791751,81405901.61287616,52989989.87109183,20169525.555788394,20169525.555788394,20169525.555788394,20169525.555788394
FAM49A,1510458852.7053928,1650786368.1241179,1473761556.0374355,912932319.7493051,885168835.4153506,873826966.0827498,377775375.910302
FAM49B,3524529158.1294127,3493917607.760859,3757438082.223474,3242212704.344547,2475524948.2871504,2990537800.638318,1816827462.9268014
